nominal_formula,volume_per_atom,C11,C12,C44,B,Gv,GR,G,E,v,Hv,"AV,R",KIC,G/B,bulk_energy,force,real_formula,bulk_energy,volume,error1,error2,error3
CrHfMoNbTa,21.78219,570.023,104.462,144.449,259.649,179.7816,170.2976,175.0396,428.7689,0.224777,22.76233,0.027091,356.2693,0.674139,-20.2469,0.03251,Cr7Hf6Mo6Nb7Ta6C32,-647.902,697.03,1.64%,2.17%,0.21%
CrHfMoNbTi,21.3225,520.093,110.497,143.724,247.029,168.1536,163.1904,165.672,406.2072,0.225938,21.76446,0.014979,336.8771,0.670658,-19.6105,0.049323,Cr7Hf6Mo6Nb7Ti6C32,-627.537,682.32,1.81%,1.99%,0.60%
CrHfMoNbV,20.97094,479.865,134.451,131.807,249.589,148.167,145.5992,146.8831,368.3845,0.254006,17.22683,0.008741,317.9569,0.5885,-19.6093,0.009151,Cr7Hf6Mo6Nb7V6C32,-627.499,671.07,2.02%,1.82%,1.68%
CrHfMoNbW,21.49031,495.609,141.059,133.436,259.2423,150.9716,148.0841,149.5279,376.2456,0.258112,17.05165,0.009655,328.2876,0.576788,-20.1802,0.025908,Cr7Hf6Mo6Nb7W6C32,-645.767,687.69,2.00%,1.91%,0.14%
CrHfMoNbZr,22.455,503.782,91.949,136.886,229.2267,164.4982,158.0842,161.2912,391.9452,0.215024,22.55319,0.019883,322.9659,0.703632,-19.7016,0.032963,Cr7Hf6Mo6Nb7Zr6C32,-630.452,718.56,1.70%,2.03%,0.44%
CrHfMoTaTi,21.35,536.44,112.57,150.771,253.86,175.2366,170.4473,172.8419,422.6131,0.222542,22.81533,0.013855,348.8896,0.680855,-19.9962,0.036771,Cr7Hf6Mo6Ta7Ti6C32,-639.878,683.2,1.71%,1.64%,0.12%
CrHfMoTaV,21.00938,510.68,124.4,141.297,253.16,162.0342,158.2927,160.1634,396.809,0.238763,19.88598,0.01168,334.4887,0.632657,-19.9909,0.012215,Cr7Hf6Mo6Ta7V6C32,-639.71,672.3,1.85%,1.79%,0.15%
CrHfMoTaW,21.49094,507.773,144.67,134.295,265.7043,153.1976,149.9024,151.55,382.0191,0.260373,16.997,0.010872,334.5953,0.570371,-20.5517,0.015283,Cr7Hf6Mo6Ta7W6C32,-657.654,687.71,2.18%,1.77%,0.13%
CrHfMoTaZr,22.44531,500.483,113.485,142.078,242.4843,162.6464,158.9768,160.8116,395.0947,0.22844,21.04059,0.01141,331.6562,0.663183,-20.09,0.034572,Cr7Hf6Mo6Ta7Zr6C32,-642.882,718.25,1.69%,1.70%,0.15%
CrHfMoTiV,20.3575,525.457,70.5703,145.606,222.1992,178.3409,170.0857,174.2133,414.3506,0.189205,26.93622,0.023693,325.1117,0.784041,-19.2549,0.022527,Cr7Hf6Mo6Ti7V6C32,-616.156,651.44,1.79%,1.32%,0.18%
CrHfMoTiW,21.00563,524.292,60.235,133.211,214.9207,172.738,160.5637,166.6508,397.2705,0.191925,25.77641,0.036526,314.3635,0.775406,-19.8433,0.043985,Cr7Hf6Mo6Ti7W6C32,-634.986,672.18,2.17%,0.96%,0.33%
CrHfMoTiZr,21.90844,410.407,133.953,136.444,226.1043,137.1572,137.1517,137.1544,342.2588,0.247713,16.98599,0.0000202,294.5741,0.606598,-19.3135,0.039142,Cr7Hf6Mo6Ti7Zr6C32,-618.033,701.07,1.70%,1.68%,0.21%
CrHfMoVW,20.47281,548.027,79.3633,130.146,235.5845,171.8203,158.2983,165.0593,401.4265,0.216007,22.81407,0.040961,326.1542,0.700637,-19.8602,0.047202,Cr7Hf6Mo6V7W6C32,-635.526,655.13,2.38%,4.47%,0.40%
CrHfMoVZr,21.47469,452.282,112.559,135.803,225.8,149.4264,147.6445,148.5355,365.469,0.230241,19.70745,0.005998,305.3268,0.657819,-19.3475,0.040872,Cr7Hf6Mo6V7Zr6C32,-619.121,687.19,1.94%,1.85%,0.09%
CrHfMoWZr,22.10156,492.633,117.617,136.515,242.6223,156.9122,153.1777,155.045,383.4543,0.23659,19.65694,0.012043,324.9112,0.639038,-20.0525,0.031222,Cr7Hf6Mo6W7Zr6C32,-641.68,707.25,1.74%,1.78%,0.06%
CrHfNbTaTi,21.64688,544.272,107.604,156.654,253.16,181.326,176.6113,178.9686,434.5143,0.21394,24.40625,0.013172,355.3464,0.706939,-20.0875,0.029061,Cr7Hf6Nb6Ta7Ti6C32,-642.8,692.7,1.58%,1.64%,0.12%
CrHfNbTaV,21.28281,604.522,41.969,148.259,229.4867,201.466,182.8468,192.1564,450.6797,0.17269,31.11356,0.048448,349.5782,0.837331,-20.0812,0.026052,Cr7Hf6Nb6Ta7V6C32,-642.599,681.05,1.58%,3.74%,0.42%
CrHfNbTaW,21.76,523.768,131.456,143.232,262.2267,164.4016,160.56,162.4808,404.0002,0.243225,19.61923,0.011822,344.8916,0.61962,-20.6559,0.037923,Cr7Hf6Nb6Ta7W6C32,-660.99,696.32,2.41%,2.17%,0.79%
CrHfNbTaZr,22.76094,485.189,116.649,146.746,239.4957,161.7556,159.7591,160.7573,394.0954,0.225746,21.3261,0.00621,330.3183,0.671233,-20.1882,0.019529,Cr7Hf6Nb6Ta7Zr6C32,-646.022,728.35,1.53%,1.48%,0.19%
CrHfNbTiV,20.67625,405.094,144.543,157.315,231.3933,146.4992,145.2555,145.8774,361.6365,0.239523,18.53867,0.004263,304.379,0.63043,-19.3339,0.018365,Cr7Hf6Nb6Ti7V6C32,-618.686,661.64,4.53%,2.19%,1.30%
CrHfNbTiW,21.20594,547.232,120.424,155.559,262.6933,178.697,174.4763,176.5867,432.785,0.225418,22.8303,0.011951,358.3272,0.672216,-19.939,0.029566,Cr7Hf6Nb6Ti7W6C32,-638.049,678.59,2.50%,2.50%,2.14%
